Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697493648.60373,29,0,40000,GPS_frame1,42.33884777333333,-71.088361925,31.044,4.8,327963.82557116816,4689511.350362757,220048.40,19,T
1697493648.8098838,30,0,60000,GPS_frame1,42.338847556666664,-71.08836178166666,31.036,4.8,327963.83678836306,4689511.326013567,220048.60,19,T
1697493649.003356,31,0,80000,GPS_frame1,42.33884713166667,-71.08836176,31.007,4.8,327963.8374142598,4689511.27877671,220048.80,19,T
1697493649.2035954,32,0,0,GPS_frame1,42.33884656333333,-71.08836171,31.006,4.8,327963.8399834172,4689511.215566445,220049.00,19,T
1697493649.4076183,33,0,20000,GPS_frame1,42.338845603333326,-71.088361675,30.973,4.8,327963.8402487058,4689511.108894922,220049.20,19,T
1697493649.6043224,34,0,40000,GPS_frame1,42.338844651666676,-71.08836164833333,30.932,4.8,327963.8398502006,4689511.0031656185,220049.40,19,T
1697493649.8061752,35,0,60000,GPS_frame1,42.338844179999995,-71.08836159333333,30.917,4.8,327963.84309489746,4689510.950679338,220049.60,19,T
1697493650.006035,36,0,80000,GPS_frame1,42.33884386500001,-71.08836155166667,30.891,4.8,327963.8456684194,4689510.915616678,220049.80,19,T
1697493650.2035265,37,0,0,GPS_frame1,42.33884354333333,-71.0883615,30.869,4.8,327963.8490475817,4689510.8797935005,220050.00,19,T
1697493650.4071376,38,0,20000,GPS_frame1,42.33884337666667,-71.08836144499999,30.851,4.8,327963.8531240651,4689510.861175154,220050.20,19,T
1697493650.6071959,39,0,40000,GPS_frame1,42.33884288833333,-71.08836142666668,30.817,4.8,327963.8533026316,4689510.806912354,220050.40,19,T
1697493650.8036966,40,0,60000,GPS_frame1,42.33884295333334,-71.08836140166666,30.795,4.8,327963.85553944693,4689510.814079531,220050.60,19,T
1697493651.0048819,41,0,80000,GPS_frame1,42.338843098333335,-71.08836133833333,30.787,4.8,327963.861152412,4689510.830052535,220050.80,19,T
1697493651.2099364,42,0,0,GPS_frame1,42.33884241833333,-71.08836140833334,30.74,4.8,327963.8535312005,4689510.75468533,220051.00,19,T
