Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697495889.3921533,4157,0,40000,GPS_frame1,42.338543091666665,-71.08567832833334,10.307,1.1,328184.0756818205,4689472.091617066,223809.40,19,T
1697495889.5883005,4158,0,60000,GPS_frame1,42.338543124999994,-71.08567839000001,10.295,1.1,328184.07069236453,4689472.095443088,223809.60,19,T
1697495889.7855208,4159,0,80000,GPS_frame1,42.338543200000004,-71.08567849333333,10.277,1.1,328184.06238379574,4689472.10398007,223809.80,19,T
1697495890.0561264,4160,0,0,GPS_frame1,42.338543275,-71.0856786,10.256,1.1,328184.0538006179,4689472.112523787,223810.00,19,T
1697495890.1908836,4161,0,20000,GPS_frame1,42.33854336833333,-71.08567885166667,10.226,1.1,328184.0333219315,4689472.123396279,223810.20,19,T
1697495890.3853002,4162,0,40000,GPS_frame1,42.33854340833333,-71.08567894833332,10.213,0.9,328184.0254672512,4689472.128033305,223810.40,19,T
1697495890.586635,4163,0,60000,GPS_frame1,42.33854345333332,-71.08567887833333,10.181,0.9,328184.03135657904,4689472.132888762,223810.60,19,T
1697495890.7873366,4164,0,80000,GPS_frame1,42.33854341666667,-71.0856783,10.166,0.9,328184.078901173,4689472.127648588,223810.80,19,T
1697495890.9921136,4165,0,0,GPS_frame1,42.338543255,-71.08567755,10.141,0.9,328184.14024761604,4689472.108181233,223811.00,19,T
1697495891.1845632,4166,0,20000,GPS_frame1,42.338542633333326,-71.08567664333333,10.14,1.1,328184.2132477504,4689472.037317811,223811.20,19,T
1697495891.384313,4167,0,40000,GPS_frame1,42.338541695,-71.08567542166666,10.099,1.1,328184.3113358416,4689471.930654461,223811.40,19,T
1697495891.5832815,4168,0,60000,GPS_frame1,42.33854040999999,-71.08567389666668,10.115,1.8,328184.4334690564,4689471.7848834805,223811.60,19,T
1697495891.7823365,4169,0,80000,GPS_frame1,42.33853910999999,-71.085671975,10.164,1.8,328184.5882397597,4689471.636645339,223811.80,19,T
1697495891.9853096,4170,0,0,GPS_frame1,42.338537705,-71.08566996333334,10.151,1.8,328184.75013889855,4689471.476565892,223812.00,19,T
1697495892.186203,4171,0,20000,GPS_frame1,42.33853622333333,-71.08566811833333,10.164,1.3,328184.8980988418,4689471.308309973,223812.20,19,T
1697495892.3856122,4172,0,40000,GPS_frame1,42.33853451,-71.08566606166667,10.136,1.3,328185.0628654156,4689471.113901537,223812.40,19,T
1697495892.58262,4173,0,60000,GPS_frame1,42.33853283333333,-71.08566416333333,10.129,1.3,328185.2146879905,4689470.923884594,223812.60,19,T
1697495892.7824957,4174,0,80000,GPS_frame1,42.338531534999994,-71.08566241833334,10.1,1.3,328185.3549090493,4689470.7761885235,223812.80,19,T
1697495892.9825232,4175,0,0,GPS_frame1,42.33853019166666,-71.08566022666668,10.05,1.3,328185.5318050078,4689470.622592991,223813.00,19,T
1697495893.1846247,4176,0,20000,GPS_frame1,42.338528501666666,-71.085657735,10.065,1.8,328185.7324715019,4689470.4298965745,223813.20,19,T
1697495893.3862715,4177,0,40000,GPS_frame1,42.33852699166667,-71.08565539333334,10.09,1.8,328185.9212708976,4689470.257490891,223813.40,19,T
1697495893.586254,4178,0,60000,GPS_frame1,42.33852521666666,-71.08565343166667,10.036,1.4,328186.07804324664,4689470.056426826,223813.60,19,T
1697495893.7817528,4179,0,80000,GPS_frame1,42.338523693333336,-71.08565115833333,10.084,1.4,328186.2611768844,4689469.882678665,223813.80,19,T
1697495893.9913895,4180,0,0,GPS_frame1,42.338522051666665,-71.08564877,10.063,1.4,328186.453462214,4689469.695558118,223814.00,19,T
1697495894.184056,4181,0,20000,GPS_frame1,42.33851871833334,-71.085649545,9.545,1.4,328186.38053718314,4689469.326982854,223814.20,19,T
1697495894.383918,4182,0,40000,GPS_frame1,42.33851729166666,-71.08564747333334,9.538,1.4,328186.5473203493,4689469.164376293,223814.40,19,T
1697495894.5823066,4183,0,60000,GPS_frame1,42.33851559833333,-71.08564541333334,9.506,1.4,328186.7124161009,4689468.972182009,223814.60,19,T
1697495894.784444,4184,0,80000,GPS_frame1,42.33851436666667,-71.08564348833333,9.499,1.4,328186.867647638,4689468.831525083,223814.80,19,T
1697495894.9876554,4185,0,0,GPS_frame1,42.338512916666666,-71.085641005,9.452,1.2,328187.06828136253,4689468.665495716,223815.00,19,T
1697495895.18569,4186,0,20000,GPS_frame1,42.33851142333333,-71.08563795166667,9.463,1.2,328187.31575503736,4689468.4935027575,223815.20,19,T
1697495895.3813272,4187,0,40000,GPS_frame1,42.338510058333334,-71.085635545,9.536,1.4,328187.51030430594,4689468.337066926,223815.40,19,T
1697495895.5827498,4188,0,60000,GPS_frame1,42.33850847666666,-71.08563333166667,9.475,1.3,328187.68833620613,4689468.156962567,223815.60,19,T
1697495895.7818313,4189,0,80000,GPS_frame1,42.33850705666667,-71.08563106833334,9.477,1.3,328187.8709275479,4689467.994709037,223815.80,19,T
1697495895.984834,4190,0,0,GPS_frame1,42.338505545,-71.08562887333332,9.434,1.1,328188.0476397753,4689467.822414701,223816.00,19,T
1697495896.1857793,4191,0,20000,GPS_frame1,42.33850380833334,-71.08562579999999,9.47,0.9,328188.29609841865,4689467.6233610585,223816.20,19,T
1697495896.3878748,4192,0,40000,GPS_frame1,42.33850242333333,-71.08562340166667,9.504,0.9,328188.4899067376,4689467.464721242,223816.40,19,T
1697495896.583596,4193,0,60000,GPS_frame1,42.33850080166667,-71.08562111833334,9.452,0.9,328188.6735965125,4689467.280033773,223816.60,19,T
1697495896.7844827,4194,0,80000,GPS_frame1,42.338499090000006,-71.08561869166667,9.481,0.9,328188.86884932127,4689467.085062876,223816.80,19,T
1697495896.9869015,4195,0,0,GPS_frame1,42.338497623333325,-71.08561657833334,9.455,0.9,328189.0389562574,4689466.917930488,223817.00,19,T
1697495897.1845334,4196,0,20000,GPS_frame1,42.338495825,-71.08561375333333,9.448,0.9,328189.26678870857,4689466.712531054,223817.20,19,T
1697495897.3863337,4197,0,40000,GPS_frame1,42.338494374999996,-71.085611445,9.499,0.9,328189.4530056281,4689466.546855366,223817.40,19,T
1697495897.5816715,4198,0,60000,GPS_frame1,42.33849262166667,-71.08560885333333,9.49,1.0,328189.6617380993,4689466.346924326,223817.60,19,T
1697495897.7815404,4199,0,80000,GPS_frame1,42.33849094666666,-71.08560672499999,9.466,1.0,328189.83251340117,4689466.156627823,223817.80,19,T
1697495897.9875526,4200,0,0,GPS_frame1,42.338489495000005,-71.08560447666667,9.463,1.0,328190.0137828649,4689465.990888318,223818.00,19,T
1697495898.1844459,4201,0,20000,GPS_frame1,42.33848773666667,-71.08560173666666,9.428,1.0,328190.23472181126,4689465.790102361,223818.20,19,T
1697495898.3847654,4202,0,40000,GPS_frame1,42.33848626,-71.08559908000001,9.488,0.9,328190.44956269395,4689465.620761732,223818.40,19,T
1697495898.5831842,4203,0,60000,GPS_frame1,42.33848461833333,-71.08559658166668,9.481,1.0,328190.6509103215,4689465.433419042,223818.60,19,T
1697495898.7817526,4204,0,80000,GPS_frame1,42.338482885,-71.08559421833334,9.467,0.9,328190.8408866751,4689465.236170256,223818.80,19,T
