Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697494416.4184728,1,0,40000,GPS_frame1,42.338823495,-71.08839780333332,15.702,0.9,327960.80363120476,4689508.727030725,221336.40,19,T
1697494416.6095474,2,0,60000,GPS_frame1,42.33882365166667,-71.08839781166667,15.79,0.9,327960.8033719496,4689508.744444231,221336.60,19,T
1697494416.745025,3,0,80000,GPS_frame1,42.338823850000004,-71.08839790833333,15.916,0.9,327960.79594925535,4689508.766663226,221336.80,19,T
1697494416.94949,4,0,0,GPS_frame1,42.338823964999996,-71.088398365,16.009,1.0,327960.75864177226,4689508.780357081,221337.00,19,T
1697494417.1423748,5,0,20000,GPS_frame1,42.33882393166667,-71.08839901833333,16.087,1.0,327960.70472795644,4689508.777977566,221337.20,19,T
1697494417.340266,6,0,40000,GPS_frame1,42.338823454999996,-71.08839975166667,16.096,1.5,327960.64301451773,4689508.726531115,221337.40,19,T
1697494417.5377748,7,0,60000,GPS_frame1,42.33882242833333,-71.08840108,16.125,1.5,327960.53078381706,4689508.615215219,221337.60,19,T
1697494417.7387993,8,0,80000,GPS_frame1,42.33882091333333,-71.08840288166667,16.118,1.5,327960.3782271701,4689508.4506313205,221337.80,19,T
1697494417.936953,9,0,0,GPS_frame1,42.33881979166667,-71.08840442833333,16.107,1.5,327960.24775063567,4689508.329208157,221338.00,19,T
1697494418.1354525,10,0,20000,GPS_frame1,42.338818755,-71.08840621166668,16.123,1.5,327960.09800883516,4689508.217702452,221338.20,19,T
1697494418.3333516,11,0,40000,GPS_frame1,42.33881767166666,-71.08840846666666,16.075,1.5,327959.9092829143,4689508.101969103,221338.40,19,T
1697494418.545068,12,0,60000,GPS_frame1,42.33881668166667,-71.08841069166667,16.176,1.5,327959.7232829876,4689507.996539019,221338.60,19,T
1697494418.7382536,13,0,80000,GPS_frame1,42.33881554,-71.088412695,16.151,1.5,327959.55513077084,4689507.873819005,221338.80,19,T
1697494418.9406824,14,0,0,GPS_frame1,42.33881402,-71.08841508166667,16.135,1.5,327959.3543669729,4689507.70986356,221339.00,19,T
1697494419.1376464,15,0,20000,GPS_frame1,42.33881258833333,-71.08841757666667,16.185,1.5,327959.1449193517,4689507.555936062,221339.20,19,T
1697494419.342764,16,0,40000,GPS_frame1,42.338811093333334,-71.08841993666667,16.133,1.5,327958.94642056734,4689507.3947027335,221339.40,19,T
1697494419.5375953,17,0,60000,GPS_frame1,42.338809946666665,-71.08842260333333,16.071,1.5,327958.7236079499,4689507.27276967,221339.60,19,T
1697494419.7376094,18,0,80000,GPS_frame1,42.33880859833333,-71.08842497166667,16.087,1.5,327958.52482262754,4689507.127839435,221339.80,19,T
1697494419.941928,19,0,0,GPS_frame1,42.338807136666674,-71.08842754833333,16.04,1.2,327958.3085652895,4689506.970745928,221340.00,19,T
1697494420.143096,20,0,20000,GPS_frame1,42.338805996666665,-71.08843067333333,16.014,1.2,327958.0480124001,4689506.850480531,221340.20,19,T
1697494420.3443272,21,0,40000,GPS_frame1,42.33880490833334,-71.08843373666667,15.991,1.2,327957.79268063174,4689506.735827564,221340.40,19,T
1697494420.54559,22,0,60000,GPS_frame1,42.33880366333333,-71.088436365,15.958,1.2,327957.57275776565,4689506.602897805,221340.60,19,T
1697494420.7416463,23,0,80000,GPS_frame1,42.338802318333336,-71.08843893,15.948,1.2,327957.35777969554,4689506.458735669,221340.80,19,T
1697494420.9450073,24,0,0,GPS_frame1,42.338801415000006,-71.08844168833333,15.881,1.2,327957.12807896524,4689506.364008446,221341.00,19,T
1697494421.1405568,25,0,20000,GPS_frame1,42.33879973666667,-71.08844427333334,15.891,1.4,327956.91054414504,4689506.182872654,221341.20,19,T
1697494421.3374667,26,0,40000,GPS_frame1,42.33879765333333,-71.08844703166666,15.907,1.9,327956.6776252114,4689505.95711541,221341.40,19,T
1697494421.5360365,27,0,60000,GPS_frame1,42.33879633833333,-71.08844974333333,15.895,1.9,327956.450646222,4689505.816581331,221341.60,19,T
1697494421.7384462,28,0,80000,GPS_frame1,42.33879507500001,-71.08845232666665,15.904,95.4,327956.2343804934,4689505.681524785,221341.80,19,T
1697494421.9449751,29,0,0,GPS_frame1,42.33879430333333,-71.08845518666666,15.917,95.5,327955.99666330754,4689505.601623891,221342.00,19,T
1697494422.14733,30,0,20000,GPS_frame1,42.338794071666676,-71.08845788833334,15.892,95.7,327955.7734626761,4689505.581365536,221342.20,19,T
1697494422.335591,31,0,40000,GPS_frame1,42.33879229166667,-71.08846171333333,15.733,2.4,327955.45349678944,4689505.391449456,221342.40,19,T
1697494422.537307,32,0,60000,GPS_frame1,42.338791300000004,-71.08846404666666,15.726,2.4,327955.2585674542,4689505.286053614,221342.60,19,T
1697494422.7304385,33,0,80000,GPS_frame1,42.33879258833334,-71.08846893333333,15.365,96.1,327954.8595075528,4689505.439000818,221342.80,19,T
1697494422.939576,34,0,0,GPS_frame1,42.33879306833334,-71.08847377666666,15.11,96.2,327954.4618129781,4689505.502101089,221343.00,19,T
1697494423.1372344,35,0,20000,GPS_frame1,42.33879718833334,-71.08848209666667,14.226,3.0,327953.7876309731,4689505.976430385,221343.20,19,T
1697494423.3437722,36,0,40000,GPS_frame1,42.338800625000005,-71.08848992666667,13.317,2.1,327953.1519525763,4689506.37388931,221343.40,19,T
1697494423.589678,37,0,60000,GPS_frame1,42.33878963,-71.08848269166667,14.847,2.1,327953.7179996378,4689505.138338812,221343.60,19,T
1697494423.7878327,38,0,80000,GPS_frame1,42.338787931666666,-71.08848482333333,14.926,2.1,327953.5377566703,4689504.954065002,221343.80,19,T
1697494423.9476542,39,0,0,GPS_frame1,42.338785365,-71.08848625833333,15.086,1.6,327953.41253828874,4689504.671959742,221344.00,19,T
1697494424.1412704,40,0,20000,GPS_frame1,42.338783725,-71.08848914333333,15.017,1.2,327953.17039324983,4689504.495687707,221344.20,19,T
1697494424.339752,41,0,40000,GPS_frame1,42.33878224333333,-71.08849178666667,14.924,1.2,327952.94858902076,4689504.336508405,221344.40,19,T
1697494424.5465114,42,0,60000,GPS_frame1,42.33878078666667,-71.08849472333333,14.825,1.5,327952.7026875649,4689504.180698702,221344.60,19,T
1697494424.7869303,43,0,80000,GPS_frame1,42.338776188333334,-71.08849395833333,15.249,1.2,327952.753168628,4689503.668540818,221344.80,19,T
1697494424.938341,44,0,0,GPS_frame1,42.33877409333333,-71.08849624,15.208,1.4,327952.5594864425,4689503.440523721,221345.00,19,T
1697494425.1889563,45,0,20000,GPS_frame1,42.33877179833333,-71.08849846,15.181,1.4,327952.37033900456,4689503.190173374,221345.20,19,T
1697494425.3861177,46,0,40000,GPS_frame1,42.338770651666664,-71.08850142666667,15.078,2.8,327952.12281150924,4689503.068847536,221345.40,19,T
1697494425.5411413,47,0,60000,GPS_frame1,42.33876811166667,-71.088503155,15.111,1.3,327951.9735003638,4689502.790296967,221345.60,19,T
1697494425.7396202,48,0,80000,GPS_frame1,42.338765033333324,-71.08850455833334,15.282,1.3,327951.8494951575,4689502.4513109615,221345.80,19,T
1697494425.9413478,49,0,0,GPS_frame1,42.338762688333325,-71.08850603833334,15.356,1.3,327951.7211740422,4689502.193911184,221346.00,19,T
1697494426.1388118,50,0,20000,GPS_frame1,42.33876041333333,-71.08850807833333,15.345,1.3,327951.5469098657,4689501.945417492,221346.20,19,T
1697494426.3407252,51,0,40000,GPS_frame1,42.33875846666667,-71.08851021166667,15.36,1.4,327951.36585216376,4689501.733571576,221346.40,19,T
1697494426.5398955,52,0,60000,GPS_frame1,42.33875685500001,-71.08851270666668,15.288,1.4,327951.1559132613,4689501.559656675,221346.60,19,T
1697494426.7402456,53,0,80000,GPS_frame1,42.33875524666667,-71.08851555,15.21,1.3,327950.91728701175,4689501.3868167475,221346.80,19,T
1697494426.9393628,54,0,0,GPS_frame1,42.338753768333326,-71.08851820666668,15.147,1.4,327950.69439329964,4689501.228034632,221347.00,19,T
1697494427.1393812,55,0,20000,GPS_frame1,42.338752395,-71.08852096833333,15.021,2.8,327950.46313583304,4689501.081124438,221347.20,19,T
1697494427.3434827,56,0,40000,GPS_frame1,42.338751313333326,-71.08852396833332,14.95,1.6,327950.21303944127,4689500.967083869,221347.40,19,T
1697494427.546882,57,0,60000,GPS_frame1,42.338749911666675,-71.08852681666667,14.878,2.8,327949.9745648928,4689500.817202854,221347.60,19,T
1697494427.7409885,58,0,80000,GPS_frame1,42.338748048333336,-71.08852909333334,14.877,2.8,327949.7819262984,4689500.614900537,221347.80,19,T
1697494427.939393,59,0,0,GPS_frame1,42.33874617333333,-71.08853115333334,14.903,2.8,327949.6071053265,4689500.410864317,221348.00,19,T
1697494428.1390896,60,0,20000,GPS_frame1,42.338744121666664,-71.08853359333334,14.911,2.8,327949.40049730625,4689500.187979521,221348.20,19,T
1697494428.3409877,61,0,40000,GPS_frame1,42.33874235500001,-71.08853612,14.909,2.8,327949.187526796,4689499.996917181,221348.40,19,T
1697494428.5406091,62,0,60000,GPS_frame1,42.33874056166666,-71.08853822166667,14.978,2.8,327949.00949594134,4689499.802033749,221348.60,19,T
1697494428.7378855,63,0,80000,GPS_frame1,42.338739045,-71.08854065333334,14.952,2.8,327948.8050335598,4689499.63853979,221348.80,19,T
1697494428.9431844,64,0,0,GPS_frame1,42.338736705,-71.08854231333333,15.07,2.8,327948.6618971424,4689499.382059498,221349.00,19,T
1697494429.1396577,65,0,20000,GPS_frame1,42.33873528666666,-71.08854534333334,15.044,1.6,327948.40841096966,4689499.23069542,221349.20,19,T
1697494429.3421526,66,0,40000,GPS_frame1,42.33873454333334,-71.08854907166666,14.837,2.8,327948.09923560754,4689499.155698021,221349.40,19,T
1697494429.5410106,67,0,60000,GPS_frame1,42.33873433666666,-71.088552855,14.583,2.9,327947.7869929302,4689499.140404679,221349.60,19,T
1697494429.7362363,68,0,80000,GPS_frame1,42.338733831666666,-71.08855634666666,14.481,101.0,327947.4979646908,4689499.091393526,221349.80,19,T
1697494429.9410834,69,0,0,GPS_frame1,42.338735154999995,-71.08856200666668,14.045,4.1,327947.0352911935,4689499.249792465,221350.00,19,T
1697494430.1447084,70,0,20000,GPS_frame1,42.33873086666667,-71.08856225666666,14.426,4.1,327947.0029995578,4689498.774111497,221350.20,19,T
1697494430.3371303,71,0,40000,GPS_frame1,42.33872970166667,-71.0885653,14.435,4.1,327946.74910584453,4689498.6509052,221350.40,19,T
1697494430.5403042,72,0,60000,GPS_frame1,42.338728145000005,-71.08856721166667,14.555,4.1,327946.58737298375,4689498.481917403,221350.60,19,T
1697494430.7351403,73,0,80000,GPS_frame1,42.338725656666675,-71.08856879,14.721,101.7,327946.45055976755,4689498.208800613,221350.80,19,T
1697494431.0029783,74,0,0,GPS_frame1,42.33872298833333,-71.088570225,14.792,99.4,327946.325063708,4689497.915406159,221351.00,19,T
1697494431.20407,75,0,20000,GPS_frame1,42.338721963333334,-71.088573025,14.781,99.6,327946.09159811144,4689497.807253441,221351.20,19,T
1697494431.4052114,76,0,40000,GPS_frame1,42.338722991666664,-71.08857835666666,14.52,2.8,327945.6551687582,4689497.932230583,221351.40,19,T
1697494431.5891016,77,0,60000,GPS_frame1,42.338721666666665,-71.08858144833333,14.329,3.0,327945.39685679396,4689497.791355352,221351.60,19,T
1697494431.738259,78,0,80000,GPS_frame1,42.338721480000004,-71.08858609666666,13.94,3.0,327945.0134080498,4689497.7800333,221351.80,19,T
1697494431.942332,79,0,0,GPS_frame1,42.33872186,-71.08859028666667,13.781,2.0,327944.66926333786,4689497.830707859,221352.00,19,T
1697494432.2026465,80,0,20000,GPS_frame1,42.338721629999995,-71.08859451500001,13.541,2.0,327944.32029689907,4689497.813724139,221352.20,19,T
1697494432.3427682,81,0,40000,GPS_frame1,42.33872119166667,-71.088597755,13.56,2.0,327944.0521832416,4689497.771606703,221352.40,19,T
1697494432.5427723,82,0,60000,GPS_frame1,42.338719770000004,-71.08859993,13.734,3.4,327943.86912454164,4689497.618142546,221352.60,19,T
