Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697494924.6807542,1,0,60000,GPS_frame1,42.338613120000005,-71.08576458666667,6.799,1.4,328177.160257651,4689480.042033381,222204.60,19,T
1697494924.8779986,2,0,80000,GPS_frame1,42.338613195,-71.08576454333334,6.815,1.4,328177.1640318286,4689480.050273992,222204.80,19,T
1697494925.075536,3,0,0,GPS_frame1,42.33861328,-71.08576445166666,6.841,1.4,328177.1718150575,4689480.05952736,222205.00,19,T
1697494925.2862844,4,0,20000,GPS_frame1,42.33861328,-71.08576460833333,6.828,1.4,328177.158908503,4689480.059843945,222205.20,19,T
1697494925.478934,5,0,40000,GPS_frame1,42.338613308333336,-71.08576463666667,6.83,1.4,328177.15665151307,4689480.063047402,222205.40,19,T
1697494925.6761582,6,0,60000,GPS_frame1,42.33861338333333,-71.08576461,6.836,1.4,328177.15905265504,4689480.071321691,222205.60,19,T
1697494925.8808587,7,0,80000,GPS_frame1,42.33861341333333,-71.085764625,6.843,1.4,328177.1578986335,4689480.074683274,222205.80,19,T
1697494926.078008,8,0,0,GPS_frame1,42.338613416666675,-71.085764685,6.828,1.4,328177.1529647776,4689480.075174662,222206.00,19,T
1697494926.2850838,9,0,20000,GPS_frame1,42.338613405,-71.08576467833333,6.831,1.4,328177.15348221373,4689480.073865696,222206.20,19,T
1697494926.4847322,10,0,40000,GPS_frame1,42.33861335666667,-71.08576469666667,6.832,1.4,328177.1518402243,4689480.068535695,222206.40,19,T
1697494926.6773415,11,0,60000,GPS_frame1,42.33861332666667,-71.08576470999999,6.835,1.4,328177.1506600826,4689480.065231366,222206.60,19,T
1697494926.8767836,12,0,80000,GPS_frame1,42.338613313333326,-71.08576478500001,6.838,1.4,328177.14444509405,4689480.063902358,222206.80,19,T
1697494927.0778794,13,0,0,GPS_frame1,42.338613298333335,-71.08576481499999,6.824,1.4,328177.14193277113,4689480.062297344,222207.00,19,T
1697494927.285773,14,0,20000,GPS_frame1,42.338613306666666,-71.08576483666667,6.827,1.4,328177.14017051936,4689480.06326648,222207.20,19,T
1697494927.4792652,15,0,40000,GPS_frame1,42.33861331833334,-71.08576492666666,6.806,1.4,328177.1327878948,4689480.064743844,222207.40,19,T
1697494927.6791801,16,0,60000,GPS_frame1,42.33861327166666,-71.08576498833332,6.785,1.4,328177.12758054736,4689480.059686477,222207.60,19,T
1697494927.883668,17,0,80000,GPS_frame1,42.33861322333334,-71.08576507333333,6.772,1.4,328177.120446403,4689480.054491195,222207.80,19,T
1697494928.0825605,18,0,0,GPS_frame1,42.33861313166667,-71.085765035,6.768,1.4,328177.12335471436,4689480.044234849,222208.00,19,T
1697494928.2846127,19,0,20000,GPS_frame1,42.338613073333335,-71.08576508833333,6.753,1.4,328177.1188021064,4689480.03786515,222208.20,19,T
1697494928.4830055,20,0,40000,GPS_frame1,42.33861309,-71.08576522666667,6.729,1.4,328177.1074512889,4689480.039995395,222208.40,19,T
1697494928.6774979,21,0,60000,GPS_frame1,42.338612963333325,-71.08576524,6.705,1.4,328177.10600784805,4689480.025956968,222208.60,19,T
1697494928.8823223,22,0,80000,GPS_frame1,42.33861289,-71.08576526499999,6.695,1.4,328177.1037485511,4689480.017864379,222208.80,19,T
1697494929.0784178,23,0,0,GPS_frame1,42.338612839999996,-71.08576529833334,6.68,1.4,328177.1008662855,4689480.012379617,222209.00,19,T
1697494929.286149,24,0,20000,GPS_frame1,42.33861281333334,-71.08576534666666,6.667,1.4,328177.09681184427,4689480.009516159,222209.20,19,T
1697494929.4838138,25,0,40000,GPS_frame1,42.33861285,-71.085765085,6.693,1.4,328177.11846840626,4689480.013058947,222209.40,19,T
1697494929.676938,26,0,60000,GPS_frame1,42.33861295166666,-71.08576533666665,6.656,1.4,328177.0980124556,4689480.024856812,222209.60,19,T
1697494929.8763688,27,0,80000,GPS_frame1,42.33861292833333,-71.085765445,6.627,1.4,328177.0890241542,4689480.02248474,222209.80,19,T
1697494930.0842824,28,0,0,GPS_frame1,42.33861287166666,-71.08576524833333,6.63,1.5,328177.10507165303,4689480.015794922,222210.00,19,T
1697494930.2841375,29,0,20000,GPS_frame1,42.33861289166666,-71.08576522166666,6.622,1.5,328177.1073229882,4689480.017961883,222210.20,19,T
1697494930.4826784,30,0,40000,GPS_frame1,42.33861302666666,-71.08576521333333,6.638,1.5,328177.1083772149,4689480.032935765,222210.40,19,T
1697494930.680411,31,0,60000,GPS_frame1,42.33861342333333,-71.08576516166666,6.659,1.5,328177.11371405696,4689480.0768781705,222210.60,19,T
1697494930.8772523,32,0,80000,GPS_frame1,42.33861379166667,-71.085764585,6.658,1.5,328177.16222441406,4689480.116613478,222210.80,19,T
1697494931.075886,33,0,0,GPS_frame1,42.33861409166668,-71.08576375666667,6.666,1.5,328177.2312815152,4689480.148252335,222211.00,19,T
